audit_id,child_id,agent,timestamp,confidence_score,status,execution_time_ms,escalated
AUD-CH-001-Inp-7968,CH-001,Input Aggregation Agent,2026-03-02T05:23:00,0.72,escalated_to_human,4175,True
AUD-CH-001-Pro-4558,CH-001,Profile Synthesis Agent,2026-03-02T05:23:29,0.81,completed,4050,False
AUD-CH-001-Pre-4380,CH-001,Prediction Agent,2026-03-02T05:23:58,0.88,completed,5235,False
AUD-CH-001-Dom-8892,CH-001,Domain Analysis Agent,2026-03-02T05:24:26,0.75,completed,5390,False
AUD-CH-001-Gui-1849,CH-001,Guideline Generation Agent,2026-03-02T05:24:47,0.87,completed,1141,False
AUD-CH-001-Goa-6332,CH-001,Goal Generation Agent,2026-03-02T05:25:02,0.69,escalated_to_human,4033,True
AUD-CH-001-Mil-9819,CH-001,Milestone Planning Agent,2026-03-02T05:25:39,0.78,completed,5543,False
AUD-CH-001-Car-5709,CH-001,Caregiver Guidance Agent,2026-03-02T05:26:17,0.97,completed,1569,False
AUD-CH-001-Eth-9459,CH-001,Ethics and Consent Agent,2026-03-02T05:26:29,0.88,flagged_for_review,1733,True
AUD-CH-001-Bia-2246,CH-001,Bias Monitoring Agent,2026-03-02T05:26:39,0.93,passed,287,False
AUD-CH-001-Dat-9775,CH-001,Data Quality Agent,2026-03-02T05:26:51,0.98,passed,97,False
AUD-CH-001-Con-6317,CH-001,Confidence and Abstention Agent,2026-03-02T05:26:57,0.92,passed,417,False
AUD-CH-002-Inp-4158,CH-002,Input Aggregation Agent,2026-03-03T05:12:00,0.92,completed,3645,False
AUD-CH-002-Pro-4573,CH-002,Profile Synthesis Agent,2026-03-03T05:12:35,0.8,completed,240,False
AUD-CH-002-Pre-7331,CH-002,Prediction Agent,2026-03-03T05:12:40,0.82,completed,2321,False
AUD-CH-002-Dom-1943,CH-002,Domain Analysis Agent,2026-03-03T05:13:23,0.76,completed,997,False
AUD-CH-002-Gui-4858,CH-002,Guideline Generation Agent,2026-03-03T05:14:08,0.97,completed,4600,False
AUD-CH-002-Goa-4078,CH-002,Goal Generation Agent,2026-03-03T05:14:31,0.69,escalated_to_human,1811,True
AUD-CH-002-Mil-3041,CH-002,Milestone Planning Agent,2026-03-03T05:15:02,0.97,completed,1280,False
AUD-CH-002-Car-1319,CH-002,Caregiver Guidance Agent,2026-03-03T05:15:44,0.78,completed,1028,False
AUD-CH-002-Eth-2337,CH-002,Ethics and Consent Agent,2026-03-03T05:16:21,0.92,passed,277,False
AUD-CH-002-Bia-6214,CH-002,Bias Monitoring Agent,2026-03-03T05:16:34,0.96,passed,1108,False
AUD-CH-002-Dat-6989,CH-002,Data Quality Agent,2026-03-03T05:16:41,0.99,passed,544,False
AUD-CH-002-Con-8441,CH-002,Confidence and Abstention Agent,2026-03-03T05:16:43,0.96,passed,1490,False
AUD-CH-003-Inp-7278,CH-003,Input Aggregation Agent,2026-03-02T12:34:00,0.85,completed,5884,False
AUD-CH-003-Pro-7252,CH-003,Profile Synthesis Agent,2026-03-02T12:34:08,0.96,completed,1456,False
AUD-CH-003-Pre-6273,CH-003,Prediction Agent,2026-03-02T12:34:32,0.94,completed,3841,False
AUD-CH-003-Dom-5825,CH-003,Domain Analysis Agent,2026-03-02T12:34:46,0.72,escalated_to_human,3694,True
AUD-CH-003-Gui-8605,CH-003,Guideline Generation Agent,2026-03-02T12:35:22,0.91,completed,1515,False
AUD-CH-003-Goa-7875,CH-003,Goal Generation Agent,2026-03-02T12:35:46,0.97,completed,641,False
AUD-CH-003-Mil-2162,CH-003,Milestone Planning Agent,2026-03-02T12:36:08,0.86,completed,2611,False
AUD-CH-003-Car-7056,CH-003,Caregiver Guidance Agent,2026-03-02T12:36:16,0.98,completed,5196,False
AUD-CH-003-Eth-3211,CH-003,Ethics and Consent Agent,2026-03-02T12:36:20,0.92,passed,591,False
AUD-CH-003-Bia-7896,CH-003,Bias Monitoring Agent,2026-03-02T12:36:28,0.91,passed,1767,False
AUD-CH-003-Dat-3734,CH-003,Data Quality Agent,2026-03-02T12:36:39,0.58,flagged_for_review,859,True
AUD-CH-003-Con-9192,CH-003,Confidence and Abstention Agent,2026-03-02T12:36:44,0.94,passed,1711,False
AUD-CH-004-Inp-8320,CH-004,Input Aggregation Agent,2026-03-02T21:47:00,0.87,completed,5302,False
AUD-CH-004-Pro-8021,CH-004,Profile Synthesis Agent,2026-03-02T21:47:42,0.93,completed,4342,False
AUD-CH-004-Pre-6576,CH-004,Prediction Agent,2026-03-02T21:48:05,0.98,completed,3514,False
AUD-CH-004-Dom-1241,CH-004,Domain Analysis Agent,2026-03-02T21:48:43,0.76,completed,3407,False
AUD-CH-004-Gui-2128,CH-004,Guideline Generation Agent,2026-03-02T21:49:10,0.94,completed,5258,False
AUD-CH-004-Goa-9637,CH-004,Goal Generation Agent,2026-03-02T21:49:40,0.85,completed,3125,False
AUD-CH-004-Mil-4766,CH-004,Milestone Planning Agent,2026-03-02T21:49:56,0.98,completed,2150,False
AUD-CH-004-Car-1964,CH-004,Caregiver Guidance Agent,2026-03-02T21:50:12,0.9,completed,2831,False
AUD-CH-004-Eth-7984,CH-004,Ethics and Consent Agent,2026-03-02T21:50:31,0.92,passed,2000,False
AUD-CH-004-Bia-9618,CH-004,Bias Monitoring Agent,2026-03-02T21:50:40,0.94,passed,1831,False
